Sample,Family ID,Population,Population Description
HG01204,PR49,PUR,Puerto Rican in Puerto Rico
HG01205,PR49,PUR,Puerto Rican in Puerto Rico
HG01206,PR49,PUR,Puerto Rican in Puerto Rico
HG01241,PR22,PUR,Puerto Rican in Puerto Rico
HG01242,PR22,PUR,Puerto Rican in Puerto Rico
HG01243,PR22,PUR,Puerto Rican in Puerto Rico
HG01247,PR32,PUR,Puerto Rican in Puerto Rico
HG01248,PR32,PUR,Puerto Rican in Puerto Rico
HG01249,PR34,PUR,Puerto Rican in Puerto Rico
HG01250,CLM14,CLM,"Colombian in Medellin, Colombia"
HG01251,CLM14,CLM,"Colombian in Medellin, Colombia"
HG01252,CLM14,CLM,"Colombian in Medellin, Colombia"
HG01253,CLM15,CLM,"Colombian in Medellin, Colombia"
HG01254,CLM15,CLM,"Colombian in Medellin, Colombia"
HG01255,CLM15,CLM,"Colombian in Medellin, Colombia"
HG01256,CLM16,CLM,"Colombian in Medellin, Colombia"
HG01257,CLM16,CLM,"Colombian in Medellin, Colombia"
HG01258,CLM16,CLM,"Colombian in Medellin, Colombia"
HG01259,CLM17,CLM,"Colombian in Medellin, Colombia"
HG01260,CLM17,CLM,"Colombian in Medellin, Colombia"
HG01261,CLM17,CLM,"Colombian in Medellin, Colombia"
HG01269,CLM20,CLM,"Colombian in Medellin, Colombia"
HG01271,CLM21,CLM,"Colombian in Medellin, Colombia"
HG01272,CLM21,CLM,"Colombian in Medellin, Colombia"
HG01273,CLM21,CLM,"Colombian in Medellin, Colombia"
HG01274,CLM22,CLM,"Colombian in Medellin, Colombia"
HG01275,CLM22,CLM,"Colombian in Medellin, Colombia"
HG01276,CLM22,CLM,"Colombian in Medellin, Colombia"
HG01277,CLM23,CLM,"Colombian in Medellin, Colombia"
HG01278,CLM23,CLM,"Colombian in Medellin, Colombia"
HG01279,CLM23,CLM,"Colombian in Medellin, Colombia"
HG01280,CLM24,CLM,"Colombian in Medellin, Colombia"
HG01281,CLM24,CLM,"Colombian in Medellin, Colombia"
HG01284,CLM25,CLM,"Colombian in Medellin, Colombia"
HG01286,PR58,PUR,Puerto Rican in Puerto Rico
HG01301,PR59,PUR,Puerto Rican in Puerto Rico
HG01302,PR59,PUR,Puerto Rican in Puerto Rico
HG01303,PR59,PUR,Puerto Rican in Puerto Rico
HG01305,PR61,PUR,Puerto Rican in Puerto Rico
HG01308,PR62,PUR,Puerto Rican in Puerto Rico
HG01311,PR63,PUR,Puerto Rican in Puerto Rico
HG01312,PR63,PUR,Puerto Rican in Puerto Rico
HG01322,PR67,PUR,Puerto Rican in Puerto Rico
HG01323,PR67,PUR,Puerto Rican in Puerto Rico
HG01324,PR67,PUR,Puerto Rican in Puerto Rico
HG01325,PR68,PUR,Puerto Rican in Puerto Rico
HG01326,PR68,PUR,Puerto Rican in Puerto Rico
HG01327,PR68,PUR,Puerto Rican in Puerto Rico
HG01334,HG01334,GBR,British in England and Scotland
HG01341,CLM26,CLM,"Colombian in Medellin, Colombia"
HG01342,CLM26,CLM,"Colombian in Medellin, Colombia"
HG01343,CLM26,CLM,"Colombian in Medellin, Colombia"
HG01344,CLM27,CLM,"Colombian in Medellin, Colombia"
HG01345,CLM27,CLM,"Colombian in Medellin, Colombia"
HG01346,CLM27,CLM,"Colombian in Medellin, Colombia"
HG01347,CLM28,CLM,"Colombian in Medellin, Colombia"
HG01348,CLM28,CLM,"Colombian in Medellin, Colombia"
HG01349,CLM28,CLM,"Colombian in Medellin, Colombia"
HG01350,CLM29,CLM,"Colombian in Medellin, Colombia"
HG01351,CLM29,CLM,"Colombian in Medellin, Colombia"
HG01352,CLM29,CLM,"Colombian in Medellin, Colombia"
HG01353,CLM30,CLM,"Colombian in Medellin, Colombia"
HG01354,CLM30,CLM,"Colombian in Medellin, Colombia"
HG01355,CLM30,CLM,"Colombian in Medellin, Colombia"
HG01356,CLM31,CLM,"Colombian in Medellin, Colombia"
HG01357,CLM31,CLM,"Colombian in Medellin, Colombia"
HG01358,CLM31,CLM,"Colombian in Medellin, Colombia"
HG01359,CLM32,CLM,"Colombian in Medellin, Colombia"
HG01360,CLM32,CLM,"Colombian in Medellin, Colombia"
HG01361,CLM32,CLM,"Colombian in Medellin, Colombia"
HG01362,CLM33,CLM,"Colombian in Medellin, Colombia"
HG01363,CLM33,CLM,"Colombian in Medellin, Colombia"
HG01364,CLM33,CLM,"Colombian in Medellin, Colombia"
HG01365,CLM34,CLM,"Colombian in Medellin, Colombia"
HG01366,CLM34,CLM,"Colombian in Medellin, Colombia"
HG01367,CLM34,CLM,"Colombian in Medellin, Colombia"
HG01369,CLM35,CLM,"Colombian in Medellin, Colombia"
HG01372,CLM36,CLM,"Colombian in Medellin, Colombia"
HG01374,CLM37,CLM,"Colombian in Medellin, Colombia"
HG01375,CLM37,CLM,"Colombian in Medellin, Colombia"
HG01376,CLM37,CLM,"Colombian in Medellin, Colombia"
HG01377,CLM38,CLM,"Colombian in Medellin, Colombia"
HG01378,CLM38,CLM,"Colombian in Medellin, Colombia"
HG01379,CLM38,CLM,"Colombian in Medellin, Colombia"
HG01383,CLM40,CLM,"Colombian in Medellin, Colombia"
HG01384,CLM40,CLM,"Colombian in Medellin, Colombia"
HG01385,CLM40,CLM,"Colombian in Medellin, Colombia"
HG01389,CLM42,CLM,"Colombian in Medellin, Colombia"
HG01390,CLM42,CLM,"Colombian in Medellin, Colombia"
HG01391,CLM42,CLM,"Colombian in Medellin, Colombia"
HG01392,PR70,PUR,Puerto Rican in Puerto Rico
HG01393,PR70,PUR,Puerto Rican in Puerto Rico
HG01394,PR70,PUR,Puerto Rican in Puerto Rico
HG01395,PR71,PUR,Puerto Rican in Puerto Rico
HG01396,PR71,PUR,Puerto Rican in Puerto Rico
HG01397,PR71,PUR,Puerto Rican in Puerto Rico
HG01398,PR72,PUR,Puerto Rican in Puerto Rico
HG01402,PR74,PUR,Puerto Rican in Puerto Rico
HG01403,PR74,PUR,Puerto Rican in Puerto Rico
HG01404,PR74,PUR,Puerto Rican in Puerto Rico
HG01405,PR75,PUR,Puerto Rican in Puerto Rico
HG01411,PR63,PUR,Puerto Rican in Puerto Rico
HG01412,PR76,PUR,Puerto Rican in Puerto Rico
HG01413,PR78,PUR,Puerto Rican in Puerto Rico
HG01414,PR78,PUR,Puerto Rican in Puerto Rico
HG01415,PR78,PUR,Puerto Rican in Puerto Rico
HG01431,CLM43,CLM,"Colombian in Medellin, Colombia"
HG01432,CLM43,CLM,"Colombian in Medellin, Colombia"
HG01433,CLM43,CLM,"Colombian in Medellin, Colombia"
HG01435,CLM44,CLM,"Colombian in Medellin, Colombia"
HG01437,CLM45,CLM,"Colombian in Medellin, Colombia"
HG01438,CLM45,CLM,"Colombian in Medellin, Colombia"
HG01439,CLM45,CLM,"Colombian in Medellin, Colombia"
HG01440,CLM46a,CLM,"Colombian in Medellin, Colombia"
HG01441,CLM46,CLM,"Colombian in Medellin, Colombia"
HG01442,CLM46,CLM,"Colombian in Medellin, Colombia"
HG01443,CLM47,CLM,"Colombian in Medellin, Colombia"
HG01444,CLM47,CLM,"Colombian in Medellin, Colombia"
HG01445,CLM47,CLM,"Colombian in Medellin, Colombia"
HG01447,CLM48,CLM,"Colombian in Medellin, Colombia"
HG01452,CLM50,CLM,"Colombian in Medellin, Colombia"
HG01453,CLM50,CLM,"Colombian in Medellin, Colombia"
HG01454,CLM50,CLM,"Colombian in Medellin, Colombia"
HG01455,CLM51,CLM,"Colombian in Medellin, Colombia"
HG01456,CLM51,CLM,"Colombian in Medellin, Colombia"
HG01457,CLM51,CLM,"Colombian in Medellin, Colombia"
HG01459,CLM52,CLM,"Colombian in Medellin, Colombia"
HG01461,CLM53,CLM,"Colombian in Medellin, Colombia"
HG01462,CLM53,CLM,"Colombian in Medellin, Colombia"
HG01463,CLM53,CLM,"Colombian in Medellin, Colombia"
HG01464,CLM54,CLM,"Colombian in Medellin, Colombia"
HG01465,CLM54,CLM,"Colombian in Medellin, Colombia"
HG01466,CLM54,CLM,"Colombian in Medellin, Colombia"
HG01468,CLM55,CLM,"Colombian in Medellin, Colombia"
HG01471,CLM56,CLM,"Colombian in Medellin, Colombia"
HG01473,CLM57,CLM,"Colombian in Medellin, Colombia"
HG01474,CLM57,CLM,"Colombian in Medellin, Colombia"
HG01477,CLM58,CLM,"Colombian in Medellin, Colombia"
HG01479,CLM59,CLM,"Colombian in Medellin, Colombia"
HG01480,CLM59,CLM,"Colombian in Medellin, Colombia"
HG01481,CLM59,CLM,"Colombian in Medellin, Colombia"
HG01482,CLM60,CLM,"Colombian in Medellin, Colombia"
HG01483,CLM60,CLM,"Colombian in Medellin, Colombia"
HG01484,CLM60,CLM,"Colombian in Medellin, Colombia"
HG01485,CLM61,CLM,"Colombian in Medellin, Colombia"
HG01486,CLM61,CLM,"Colombian in Medellin, Colombia"
HG01487,CLM61,CLM,"Colombian in Medellin, Colombia"
HG01488,CLM62,CLM,"Colombian in Medellin, Colombia"
HG01489,CLM62,CLM,"Colombian in Medellin, Colombia"
HG01490,CLM62,CLM,"Colombian in Medellin, Colombia"
HG01491,CLM63,CLM,"Colombian in Medellin, Colombia"
HG01492,CLM63,CLM,"Colombian in Medellin, Colombia"
HG01493,CLM63,CLM,"Colombian in Medellin, Colombia"
HG01494,CLM64,CLM,"Colombian in Medellin, Colombia"
HG01495,CLM64,CLM,"Colombian in Medellin, Colombia"
HG01496,CLM64,CLM,"Colombian in Medellin, Colombia"
HG01497,CLM65,CLM,"Colombian in Medellin, Colombia"
HG01498,CLM65,CLM,"Colombian in Medellin, Colombia"
HG01499,CLM65,CLM,"Colombian in Medellin, Colombia"
HG01500,IBS001,IBS,Iberian populations in Spain
HG01501,IBS001,IBS,Iberian populations in Spain
HG01502,IBS001,IBS,Iberian populations in Spain
HG01503,IBS002,IBS,Iberian populations in Spain
HG01504,IBS002,IBS,Iberian populations in Spain
HG01505,IBS002,IBS,Iberian populations in Spain
HG01506,IBS003,IBS,Iberian populations in Spain
HG01507,IBS003,IBS,Iberian populations in Spain
HG01508,IBS003,IBS,Iberian populations in Spain
HG01509,IBS004,IBS,Iberian populations in Spain
HG01510,IBS004,IBS,Iberian populations in Spain
HG01511,IBS004,IBS,Iberian populations in Spain
HG01512,IBS005,IBS,Iberian populations in Spain
HG01513,IBS005,IBS,Iberian populations in Spain
HG01514,IBS005,IBS,Iberian populations in Spain
HG01515,IBS006,IBS,Iberian populations in Spain
HG01516,IBS006,IBS,Iberian populations in Spain
HG01517,IBS006,IBS,Iberian populations in Spain
HG01518,IBS007,IBS,Iberian populations in Spain
HG01519,IBS007,IBS,Iberian populations in Spain
HG01520,IBS007,IBS,Iberian populations in Spain
HG01521,IBS008,IBS,Iberian populations in Spain
HG01522,IBS008,IBS,Iberian populations in Spain
HG01523,IBS008,IBS,Iberian populations in Spain
HG01524,IBS009,IBS,Iberian populations in Spain
HG01525,IBS009,IBS,Iberian populations in Spain
HG01526,IBS009,IBS,Iberian populations in Spain
HG01527,IBS010,IBS,Iberian populations in Spain
HG01528,IBS010,IBS,Iberian populations in Spain
HG01529,IBS010,IBS,Iberian populations in Spain
HG01530,IBS011,IBS,Iberian populations in Spain
HG01531,IBS011,IBS,Iberian populations in Spain
HG01532,IBS011,IBS,Iberian populations in Spain
HG01536,IBS013,IBS,Iberian populations in Spain
HG01537,IBS013,IBS,Iberian populations in Spain
HG01538,IBS013,IBS,Iberian populations in Spain
HG01550,CLM66,CLM,"Colombian in Medellin, Colombia"
HG01551,CLM66,CLM,"Colombian in Medellin, Colombia"
HG01552,CLM66,CLM,"Colombian in Medellin, Colombia"
HG01556,CLM68,CLM,"Colombian in Medellin, Colombia"
HG01565,PEL001,PEL,"Peruvian in Lima, Peru"
HG01566,PEL001,PEL,"Peruvian in Lima, Peru"
HG01567,PEL001,PEL,"Peruvian in Lima, Peru"
HG01571,PEL003,PEL,"Peruvian in Lima, Peru"
HG01572,PEL003,PEL,"Peruvian in Lima, Peru"
HG01573,PEL003,PEL,"Peruvian in Lima, Peru"
HG01577,PEL005,PEL,"Peruvian in Lima, Peru"
HG01578,PEL005,PEL,"Peruvian in Lima, Peru"
HG01579,PEL005,PEL,"Peruvian in Lima, Peru"
HG01583,PK02,PJL,"Punjabi in Lahore,Pakistan"
HG01586,PK03,PJL,"Punjabi in Lahore,Pakistan"
HG01589,PK04,PJL,"Punjabi in Lahore,Pakistan"
HG01590,PK04,PJL,"Punjabi in Lahore,Pakistan"
HG01593,PK05,PJL,"Punjabi in Lahore,Pakistan"
HG01594,PK05,PJL,"Punjabi in Lahore,Pakistan"
HG01595,VN001,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01596,VN002,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01597,VN003,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01598,VN004,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01599,VN005,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01600,VN006,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01601,IBS024,IBS,Iberian populations in Spain
HG01602,IBS024,IBS,Iberian populations in Spain
HG01603,IBS024,IBS,Iberian populations in Spain
HG01604,IBS023,IBS,Iberian populations in Spain
HG01605,IBS023,IBS,Iberian populations in Spain
HG01606,IBS023,IBS,Iberian populations in Spain
HG01607,IBS022,IBS,Iberian populations in Spain
HG01608,IBS022,IBS,Iberian populations in Spain
HG01609,IBS022,IBS,Iberian populations in Spain
HG01610,IBS021,IBS,Iberian populations in Spain
HG01611,IBS021,IBS,Iberian populations in Spain
HG01612,IBS021,IBS,Iberian populations in Spain
HG01613,IBS020,IBS,Iberian populations in Spain
HG01614,IBS020,IBS,Iberian populations in Spain
HG01615,IBS020,IBS,Iberian populations in Spain
HG01616,IBS019,IBS,Iberian populations in Spain
HG01617,IBS019,IBS,Iberian populations in Spain
HG01618,IBS019,IBS,Iberian populations in Spain
HG01619,IBS018,IBS,Iberian populations in Spain
HG01620,IBS018,IBS,Iberian populations in Spain
HG01621,IBS018,IBS,Iberian populations in Spain
HG01622,IBS017,IBS,Iberian populations in Spain
HG01623,IBS017,IBS,Iberian populations in Spain
HG01624,IBS017,IBS,Iberian populations in Spain
HG01625,IBS016,IBS,Iberian populations in Spain
HG01626,IBS016,IBS,Iberian populations in Spain
HG01627,IBS016,IBS,Iberian populations in Spain
HG01628,IBS015,IBS,Iberian populations in Spain
HG01629,IBS015,IBS,Iberian populations in Spain
HG01630,IBS015,IBS,Iberian populations in Spain
HG01631,IBS014,IBS,Iberian populations in Spain
HG01632,IBS014,IBS,Iberian populations in Spain
HG01633,IBS014,IBS,Iberian populations in Spain
HG01667,IBS025,IBS,Iberian populations in Spain
HG01668,IBS025,IBS,Iberian populations in Spain
HG01669,IBS025,IBS,Iberian populations in Spain
HG01670,IBS026,IBS,Iberian populations in Spain
HG01671,IBS026,IBS,Iberian populations in Spain
HG01672,IBS026,IBS,Iberian populations in Spain
HG01673,IBS027,IBS,Iberian populations in Spain
HG01674,IBS027,IBS,Iberian populations in Spain
HG01675,IBS027,IBS,Iberian populations in Spain
HG01676,IBS028,IBS,Iberian populations in Spain
HG01677,IBS028,IBS,Iberian populations in Spain
HG01678,IBS028,IBS,Iberian populations in Spain
HG01679,IBS029,IBS,Iberian populations in Spain
HG01680,IBS029,IBS,Iberian populations in Spain
HG01681,IBS029,IBS,Iberian populations in Spain
HG01682,IBS030,IBS,Iberian populations in Spain
HG01683,IBS030,IBS,Iberian populations in Spain
HG01684,IBS030,IBS,Iberian populations in Spain
HG01685,IBS031,IBS,Iberian populations in Spain
HG01686,IBS031,IBS,Iberian populations in Spain
HG01687,IBS031,IBS,Iberian populations in Spain
HG01694,IBS034,IBS,Iberian populations in Spain
HG01695,IBS034,IBS,Iberian populations in Spain
HG01696,IBS034,IBS,Iberian populations in Spain
HG01697,IBS035,IBS,Iberian populations in Spain
HG01698,IBS035,IBS,Iberian populations in Spain
HG01699,IBS035,IBS,Iberian populations in Spain
HG01700,IBS036,IBS,Iberian populations in Spain
HG01701,IBS036,IBS,Iberian populations in Spain
HG01702,IBS036,IBS,Iberian populations in Spain
HG01703,IBS037,IBS,Iberian populations in Spain
HG01704,IBS037,IBS,Iberian populations in Spain
HG01705,IBS037,IBS,Iberian populations in Spain
HG01706,IBS038,IBS,Iberian populations in Spain
HG01707,IBS038,IBS,Iberian populations in Spain
HG01708,IBS038,IBS,Iberian populations in Spain
HG01709,IBS039,IBS,Iberian populations in Spain
HG01710,IBS039,IBS,Iberian populations in Spain
HG01711,IBS039,IBS,Iberian populations in Spain
HG01746,IBS041,IBS,Iberian populations in Spain
HG01747,IBS041,IBS,Iberian populations in Spain
HG01748,IBS041,IBS,Iberian populations in Spain
HG01755,IBS044,IBS,Iberian populations in Spain
HG01756,IBS044,IBS,Iberian populations in Spain
HG01757,IBS044,IBS,Iberian populations in Spain
HG01761,IBS046,IBS,Iberian populations in Spain
HG01762,IBS046,IBS,Iberian populations in Spain
HG01763,IBS046,IBS,Iberian populations in Spain
HG01764,IBS047,IBS,Iberian populations in Spain
HG01765,IBS047,IBS,Iberian populations in Spain
HG01766,IBS047,IBS,Iberian populations in Spain
HG01767,IBS048,IBS,Iberian populations in Spain
HG01768,IBS048,IBS,Iberian populations in Spain
HG01769,IBS048,IBS,Iberian populations in Spain
HG01770,IBS049,IBS,Iberian populations in Spain
HG01771,IBS049,IBS,Iberian populations in Spain
HG01772,IBS049,IBS,Iberian populations in Spain
HG01773,IBS050,IBS,Iberian populations in Spain
HG01774,IBS050,IBS,Iberian populations in Spain
HG01775,IBS050,IBS,Iberian populations in Spain
HG01776,IBS051,IBS,Iberian populations in Spain
HG01777,IBS051,IBS,Iberian populations in Spain
HG01778,IBS051,IBS,Iberian populations in Spain
HG01779,IBS052,IBS,Iberian populations in Spain
HG01780,IBS052,IBS,Iberian populations in Spain
HG01781,IBS052,IBS,Iberian populations in Spain
HG01782,IBS053,IBS,Iberian populations in Spain
HG01783,IBS053,IBS,Iberian populations in Spain
HG01784,IBS053,IBS,Iberian populations in Spain
HG01785,IBS054,IBS,Iberian populations in Spain
HG01786,IBS054,IBS,Iberian populations in Spain
HG01787,IBS054,IBS,Iberian populations in Spain
HG01789,HG01789,GBR,British in England and Scotland
HG01790,HG01790,GBR,British in England and Scotland
HG01791,HG01791,GBR,British in England and Scotland
HG01794,HG01794,CDX,"Chinese Dai in Xishuangbanna, China"
HG01795,HG01795,CDX,"Chinese Dai in Xishuangbanna, China"
HG01796,HG01796,CDX,"Chinese Dai in Xishuangbanna, China"
HG01797,HG01797,CDX,"Chinese Dai in Xishuangbanna, China"
HG01798,HG01798,CDX,"Chinese Dai in Xishuangbanna, China"
HG01799,HG01799,CDX,"Chinese Dai in Xishuangbanna, China"
HG01800,HG01800,CDX,"Chinese Dai in Xishuangbanna, China"
HG01801,HG01801,CDX,"Chinese Dai in Xishuangbanna, China"
HG01802,HG01802,CDX,"Chinese Dai in Xishuangbanna, China"
HG01804,HG01804,CDX,"Chinese Dai in Xishuangbanna, China"
HG01805,HG01805,CDX,"Chinese Dai in Xishuangbanna, China"
HG01806,HG01806,CDX,"Chinese Dai in Xishuangbanna, China"
HG01807,HG01807,CDX,"Chinese Dai in Xishuangbanna, China"
HG01808,HG01808,CDX,"Chinese Dai in Xishuangbanna, China"
HG01809,HG01809,CDX,"Chinese Dai in Xishuangbanna, China"
HG01810,HG01810,CDX,"Chinese Dai in Xishuangbanna, China"
HG01811,HG01811,CDX,"Chinese Dai in Xishuangbanna, China"
HG01812,HG01812,CDX,"Chinese Dai in Xishuangbanna, China"
HG01813,HG01813,CDX,"Chinese Dai in Xishuangbanna, China"
HG01815,HG01815,CDX,"Chinese Dai in Xishuangbanna, China"
HG01816,HG01816,CDX,"Chinese Dai in Xishuangbanna, China"
HG01817,HG01817,CDX,"Chinese Dai in Xishuangbanna, China"
HG01840,VN007,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01841,VN008,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01842,VN009,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01843,VN010,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01844,VN011,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01845,VN012,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01846,VN013,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01847,VN014,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01848,VN015,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01849,VN016,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01850,VN017,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01851,VN018,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01852,VN019,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01853,VN020,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01855,VN022,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01857,VN024,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01858,VN025,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01859,VN026,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01860,VN027,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01861,VN028,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01862,VN029,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01863,VN030,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01864,VN031,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01865,VN032,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01866,VN033,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01867,VN034,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01868,VN035,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01869,VN036,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01870,VN037,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01871,VN038,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01872,VN039,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01873,VN040,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01874,VN041,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01878,VN045,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG01879,BB01,ACB,African Caribbean in Barbados
HG01880,BB01,ACB,African Caribbean in Barbados
HG01881,BB01,ACB,African Caribbean in Barbados
HG01882,BB02,ACB,African Caribbean in Barbados
HG01883,BB02,ACB,African Caribbean in Barbados
HG01884,BB03,ACB,African Caribbean in Barbados
HG01885,BB03,ACB,African Caribbean in Barbados
HG01886,BB04,ACB,African Caribbean in Barbados
HG01887,BB04,ACB,African Caribbean in Barbados
HG01888,BB02,ACB,African Caribbean in Barbados
HG01889,BB05,ACB,African Caribbean in Barbados
HG01890,BB05,ACB,African Caribbean in Barbados
HG01891,BB05,ACB,African Caribbean in Barbados
HG01892,PEL007,PEL,"Peruvian in Lima, Peru"
HG01893,PEL007,PEL,"Peruvian in Lima, Peru"
HG01894,BB06,ACB,African Caribbean in Barbados
HG01895,BB06,ACB,African Caribbean in Barbados
HG01896,BB07,ACB,African Caribbean in Barbados
HG01897,BB07,ACB,African Caribbean in Barbados
HG01898,PEL007,PEL,"Peruvian in Lima, Peru"
HG01912,BB06,ACB,African Caribbean in Barbados
HG01914,BB09,ACB,African Caribbean in Barbados
HG01915,BB09,ACB,African Caribbean in Barbados
HG01916,BB09,ACB,African Caribbean in Barbados
HG01917,PEL006,PEL,"Peruvian in Lima, Peru"
HG01918,PEL006,PEL,"Peruvian in Lima, Peru"
HG01919,PEL006,PEL,"Peruvian in Lima, Peru"
HG01920,PEL009,PEL,"Peruvian in Lima, Peru"
HG01921,PEL009,PEL,"Peruvian in Lima, Peru"
HG01922,PEL009,PEL,"Peruvian in Lima, Peru"
HG01923,PEL010,PEL,"Peruvian in Lima, Peru"
HG01924,PEL010,PEL,"Peruvian in Lima, Peru"
HG01925,PEL010,PEL,"Peruvian in Lima, Peru"
HG01926,PEL011,PEL,"Peruvian in Lima, Peru"
HG01927,PEL011,PEL,"Peruvian in Lima, Peru"
HG01928,PEL011,PEL,"Peruvian in Lima, Peru"
HG01932,PEL013,PEL,"Peruvian in Lima, Peru"
HG01933,PEL013,PEL,"Peruvian in Lima, Peru"
HG01934,PEL013,PEL,"Peruvian in Lima, Peru"
HG01935,PEL014,PEL,"Peruvian in Lima, Peru"
HG01936,PEL014,PEL,"Peruvian in Lima, Peru"
HG01937,PEL014,PEL,"Peruvian in Lima, Peru"
HG01938,PEL015,PEL,"Peruvian in Lima, Peru"
HG01939,PEL015,PEL,"Peruvian in Lima, Peru"
HG01940,PEL015,PEL,"Peruvian in Lima, Peru"
HG01941,PEL016,PEL,"Peruvian in Lima, Peru"
HG01942,PEL016,PEL,"Peruvian in Lima, Peru"
HG01943,PEL016,PEL,"Peruvian in Lima, Peru"
HG01944,PEL017,PEL,"Peruvian in Lima, Peru"
HG01945,PEL017,PEL,"Peruvian in Lima, Peru"
HG01946,PEL017,PEL,"Peruvian in Lima, Peru"
HG01947,PEL018,PEL,"Peruvian in Lima, Peru"
HG01948,PEL018,PEL,"Peruvian in Lima, Peru"
HG01949,PEL018,PEL,"Peruvian in Lima, Peru"
HG01950,PEL019,PEL,"Peruvian in Lima, Peru"
HG01951,PEL019,PEL,"Peruvian in Lima, Peru"
HG01952,PEL019,PEL,"Peruvian in Lima, Peru"
HG01953,PEL020,PEL,"Peruvian in Lima, Peru"
HG01954,PEL020,PEL,"Peruvian in Lima, Peru"
HG01955,PEL020,PEL,"Peruvian in Lima, Peru"
HG01956,BB03,ACB,African Caribbean in Barbados
HG01958,BB10,ACB,African Caribbean in Barbados
HG01959,BB10,ACB,African Caribbean in Barbados
HG01960,BB11,ACB,African Caribbean in Barbados
HG01961,PEL21,PEL,"Peruvian in Lima, Peru"
HG01965,PEL22,PEL,"Peruvian in Lima, Peru"
HG01967,PEL023,PEL,"Peruvian in Lima, Peru"
HG01968,PEL023,PEL,"Peruvian in Lima, Peru"
HG01969,PEL023,PEL,"Peruvian in Lima, Peru"
HG01970,PEL024,PEL,"Peruvian in Lima, Peru"
HG01971,PEL024,PEL,"Peruvian in Lima, Peru"
HG01972,PEL024,PEL,"Peruvian in Lima, Peru"
HG01973,PEL25,PEL,"Peruvian in Lima, Peru"
HG01974,PEL25,PEL,"Peruvian in Lima, Peru"
HG01975,PEL25,PEL,"Peruvian in Lima, Peru"
HG01976,PEL26,PEL,"Peruvian in Lima, Peru"
HG01977,PEL26,PEL,"Peruvian in Lima, Peru"
HG01978,PEL26,PEL,"Peruvian in Lima, Peru"
HG01979,PEL27,PEL,"Peruvian in Lima, Peru"
HG01980,PEL27,PEL,"Peruvian in Lima, Peru"
HG01981,PEL27,PEL,"Peruvian in Lima, Peru"
HG01982,PEL28,PEL,"Peruvian in Lima, Peru"
HG01983,PEL28,PEL,"Peruvian in Lima, Peru"
HG01984,PEL28,PEL,"Peruvian in Lima, Peru"
HG01985,BB08,ACB,African Caribbean in Barbados
HG01986,BB10,ACB,African Caribbean in Barbados
HG01987,BB12,ACB,African Caribbean in Barbados
HG01988,BB11,ACB,African Caribbean in Barbados
HG01989,BB11,ACB,African Caribbean in Barbados
HG01990,BB12,ACB,African Caribbean in Barbados
HG01991,PEL29,PEL,"Peruvian in Lima, Peru"
HG01992,PEL29,PEL,"Peruvian in Lima, Peru"
HG01993,PEL29,PEL,"Peruvian in Lima, Peru"
HG01995,PEL30,PEL,"Peruvian in Lima, Peru"
HG01997,PEL31,PEL,"Peruvian in Lima, Peru"
