Sample,Family ID,Population,Population Description
HG00312,HG00312,FIN,Finnish in Finland
HG00313,HG00313,FIN,Finnish in Finland
HG00315,HG00315,FIN,Finnish in Finland
HG00318,HG00318,FIN,Finnish in Finland
HG00319,HG00319,FIN,Finnish in Finland
HG00320,HG00320,FIN,Finnish in Finland
HG00321,HG00321,FIN,Finnish in Finland
HG00323,HG00323,FIN,Finnish in Finland
HG00324,HG00324,FIN,Finnish in Finland
HG00325,HG00325,FIN,Finnish in Finland
HG00326,HG00326,FIN,Finnish in Finland
HG00327,HG00327,FIN,Finnish in Finland
HG00328,HG00328,FIN,Finnish in Finland
HG00329,HG00329,FIN,Finnish in Finland
HG00330,HG00330,FIN,Finnish in Finland
HG00331,HG00331,FIN,Finnish in Finland
HG00332,HG00332,FIN,Finnish in Finland
HG00334,HG00334,FIN,Finnish in Finland
HG00335,HG00335,FIN,Finnish in Finland
HG00336,HG00336,FIN,Finnish in Finland
HG00337,HG00337,FIN,Finnish in Finland
HG00338,HG00338,FIN,Finnish in Finland
HG00339,HG00339,FIN,Finnish in Finland
HG00341,HG00341,FIN,Finnish in Finland
HG00342,HG00342,FIN,Finnish in Finland
HG00343,HG00343,FIN,Finnish in Finland
HG00344,HG00344,FIN,Finnish in Finland
HG00345,HG00345,FIN,Finnish in Finland
HG00346,HG00346,FIN,Finnish in Finland
HG00349,HG00349,FIN,Finnish in Finland
HG00350,HG00350,FIN,Finnish in Finland
HG00351,HG00351,FIN,Finnish in Finland
HG00353,HG00353,FIN,Finnish in Finland
HG00355,HG00355,FIN,Finnish in Finland
HG00356,HG00356,FIN,Finnish in Finland
HG00357,HG00357,FIN,Finnish in Finland
HG00358,HG00358,FIN,Finnish in Finland
HG00359,HG00359,FIN,Finnish in Finland
HG00360,HG00360,FIN,Finnish in Finland
HG00361,HG00361,FIN,Finnish in Finland
HG00362,HG00362,FIN,Finnish in Finland
HG00364,HG00364,FIN,Finnish in Finland
HG00365,HG00365,FIN,Finnish in Finland
HG00366,HG00366,FIN,Finnish in Finland
HG00367,HG00367,FIN,Finnish in Finland
HG00368,HG00368,FIN,Finnish in Finland
HG00369,HG00369,FIN,Finnish in Finland
HG00371,HG00371,FIN,Finnish in Finland
HG00372,HG00372,FIN,Finnish in Finland
HG00373,HG00373,FIN,Finnish in Finland
HG00375,HG00375,FIN,Finnish in Finland
HG00376,HG00376,FIN,Finnish in Finland
HG00377,HG00377,FIN,Finnish in Finland
HG00378,HG00378,FIN,Finnish in Finland
HG00379,HG00379,FIN,Finnish in Finland
HG00380,HG00380,FIN,Finnish in Finland
HG00381,HG00381,FIN,Finnish in Finland
HG00382,HG00382,FIN,Finnish in Finland
HG00383,HG00383,FIN,Finnish in Finland
HG00384,HG00384,FIN,Finnish in Finland
HG00403,SH001,CHS,"Southern Han Chinese, China"
HG00404,SH001,CHS,"Southern Han Chinese, China"
HG00405,SH001,CHS,"Southern Han Chinese, China"
HG00406,SH002,CHS,"Southern Han Chinese, China"
HG00407,SH002,CHS,"Southern Han Chinese, China"
HG00408,SH002,CHS,"Southern Han Chinese, China"
HG00409,SH003,CHS,"Southern Han Chinese, China"
HG00410,SH003,CHS,"Southern Han Chinese, China"
HG00411,SH003,CHS,"Southern Han Chinese, China"
HG00418,SH006,CHS,"Southern Han Chinese, China"
HG00419,SH006,CHS,"Southern Han Chinese, China"
HG00420,SH006,CHS,"Southern Han Chinese, China"
HG00421,SH007,CHS,"Southern Han Chinese, China"
HG00422,SH007,CHS,"Southern Han Chinese, China"
HG00423,SH007,CHS,"Southern Han Chinese, China"
HG00427,SH009,CHS,"Southern Han Chinese, China"
HG00428,SH009,CHS,"Southern Han Chinese, China"
HG00429,SH009,CHS,"Southern Han Chinese, China"
HG00436,SH012,CHS,"Southern Han Chinese, China"
HG00437,SH012,CHS,"Southern Han Chinese, China"
HG00438,SH012,CHS,"Southern Han Chinese, China"
HG00442,SH014,CHS,"Southern Han Chinese, China"
HG00443,SH014,CHS,"Southern Han Chinese, China"
HG00444,SH014,CHS,"Southern Han Chinese, China"
HG00445,SH015,CHS,"Southern Han Chinese, China"
HG00446,SH015,CHS,"Southern Han Chinese, China"
HG00447,SH015,CHS,"Southern Han Chinese, China"
HG00448,SH016,CHS,"Southern Han Chinese, China"
HG00449,SH016,CHS,"Southern Han Chinese, China"
HG00450,SH016,CHS,"Southern Han Chinese, China"
HG00451,SH017,CHS,"Southern Han Chinese, China"
HG00452,SH017,CHS,"Southern Han Chinese, China"
HG00453,SH017,CHS,"Southern Han Chinese, China"
HG00457,SH019,CHS,"Southern Han Chinese, China"
HG00458,SH019,CHS,"Southern Han Chinese, China"
HG00459,SH019,CHS,"Southern Han Chinese, China"
HG00463,SH021,CHS,"Southern Han Chinese, China"
HG00464,SH021,CHS,"Southern Han Chinese, China"
HG00465,SH021,CHS,"Southern Han Chinese, China"
HG00472,SH024,CHS,"Southern Han Chinese, China"
HG00473,SH024,CHS,"Southern Han Chinese, China"
HG00474,SH024,CHS,"Southern Han Chinese, China"
HG00475,SH025,CHS,"Southern Han Chinese, China"
HG00476,SH025,CHS,"Southern Han Chinese, China"
HG00477,SH025,CHS,"Southern Han Chinese, China"
HG00478,SH026,CHS,"Southern Han Chinese, China"
HG00479,SH026,CHS,"Southern Han Chinese, China"
HG00480,SH026,CHS,"Southern Han Chinese, China"
HG00500,SH028,CHS,"Southern Han Chinese, China"
HG00501,SH028,CHS,"Southern Han Chinese, China"
HG00502,SH028,CHS,"Southern Han Chinese, China"
HG00512,SH032,CHS,"Southern Han Chinese, China"
HG00513,SH032,CHS,"Southern Han Chinese, China"
HG00514,SH032,CHS,"Southern Han Chinese, China"
HG00524,SH036,CHS,"Southern Han Chinese, China"
HG00525,SH036,CHS,"Southern Han Chinese, China"
HG00526,SH036,CHS,"Southern Han Chinese, China"
HG00530,SH038,CHS,"Southern Han Chinese, China"
HG00531,SH038,CHS,"Southern Han Chinese, China"
HG00532,SH038,CHS,"Southern Han Chinese, China"
HG00533,SH039,CHS,"Southern Han Chinese, China"
HG00534,SH039,CHS,"Southern Han Chinese, China"
HG00535,SH039,CHS,"Southern Han Chinese, China"
HG00536,SH040,CHS,"Southern Han Chinese, China"
HG00537,SH040,CHS,"Southern Han Chinese, China"
HG00538,SH040,CHS,"Southern Han Chinese, China"
HG00542,SH042,CHS,"Southern Han Chinese, China"
HG00543,SH042,CHS,"Southern Han Chinese, China"
HG00544,SH042,CHS,"Southern Han Chinese, China"
HG00551,PR01,PUR,Puerto Rican in Puerto Rico
HG00552,PR01,PUR,Puerto Rican in Puerto Rico
HG00553,PR02,PUR,Puerto Rican in Puerto Rico
HG00554,PR02,PUR,Puerto Rican in Puerto Rico
HG00555,PR02,PUR,Puerto Rican in Puerto Rico
HG00556,SH045,CHS,"Southern Han Chinese, China"
HG00557,SH045,CHS,"Southern Han Chinese, China"
HG00558,SH045,CHS,"Southern Han Chinese, China"
HG00559,SH046,CHS,"Southern Han Chinese, China"
HG00560,SH046,CHS,"Southern Han Chinese, China"
HG00561,SH046,CHS,"Southern Han Chinese, China"
HG00565,SH048,CHS,"Southern Han Chinese, China"
HG00566,SH048,CHS,"Southern Han Chinese, China"
HG00567,SH048,CHS,"Southern Han Chinese, China"
HG00577,SH052,CHS,"Southern Han Chinese, China"
HG00578,SH052,CHS,"Southern Han Chinese, China"
HG00579,SH052,CHS,"Southern Han Chinese, China"
HG00580,SH053,CHS,"Southern Han Chinese, China"
HG00581,SH053,CHS,"Southern Han Chinese, China"
HG00582,SH053,CHS,"Southern Han Chinese, China"
HG00583,SH054,CHS,"Southern Han Chinese, China"
HG00584,SH054,CHS,"Southern Han Chinese, China"
HG00585,SH054,CHS,"Southern Han Chinese, China"
HG00589,SH056,CHS,"Southern Han Chinese, China"
HG00590,SH056,CHS,"Southern Han Chinese, China"
HG00591,SH056,CHS,"Southern Han Chinese, China"
HG00592,SH057,CHS,"Southern Han Chinese, China"
HG00593,SH057,CHS,"Southern Han Chinese, China"
HG00594,SH057,CHS,"Southern Han Chinese, China"
HG00595,SH058,CHS,"Southern Han Chinese, China"
HG00596,SH058,CHS,"Southern Han Chinese, China"
HG00597,SH058,CHS,"Southern Han Chinese, China"
HG00598,SH059,CHS,"Southern Han Chinese, China"
HG00599,SH059,CHS,"Southern Han Chinese, China"
HG00600,SH059,CHS,"Southern Han Chinese, China"
HG00607,SH062,CHS,"Southern Han Chinese, China"
HG00608,SH062,CHS,"Southern Han Chinese, China"
HG00609,SH062,CHS,"Southern Han Chinese, China"
HG00610,SH063,CHS,"Southern Han Chinese, China"
HG00611,SH063,CHS,"Southern Han Chinese, China"
HG00612,SH063,CHS,"Southern Han Chinese, China"
HG00613,SH064,CHS,"Southern Han Chinese, China"
HG00614,SH064,CHS,"Southern Han Chinese, China"
